City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,beyneu,45.3167,55.2,4.69,58,100,8.05,KZ,1704284147
305,majene,-3.5403,118.9707,26.9,87,94,2.0,ID,1704284148
306,flying fish cove,-10.4217,105.6791,26.82,83,100,3.09,CX,1704283812
307,kyren,51.6828,102.1408,-6.14,83,100,1.34,RU,1704284148
308,ghazni,33.5536,68.4269,4.58,38,45,0.39,AF,1704284148
309,waat,51.1454,6.4958,12.65,84,40,7.2,DE,1704284149
310,enshi,30.3,109.4833,8.91,87,89,1.14,CN,1704284149
311,novi grad,45.0458,16.3803,13.51,67,81,4.12,BA,1704284149
312,lodwar,3.1191,35.5973,36.51,22,6,5.72,KE,1704284150
313,timbuktu,16.7735,-3.0074,29.54,8,82,4.85,ML,1704284150
314,taco pozo,-25.6167,-63.2833,27.33,44,64,1.89,AR,1704284150
315,kosh-agach,50.0,88.6667,-16.5,83,81,0.45,RU,1704284151
316,la'ie,21.6477,-157.9253,23.58,75,41,3.58,US,1704283703
317,bikenibeu village,1.3673,173.1241,28.98,89,75,4.12,KI,1704283823
318,khandyga,62.6667,135.6,-30.63,100,96,0.28,RU,1704284151
319,grants,35.1473,-107.8514,-9.87,79,0,2.06,US,1704284152
320,koungou,-12.7336,45.2042,32.84,62,0,8.23,YT,1704284152
321,kavaratti,10.5669,72.642,27.69,74,90,3.72,IN,1704283552
322,kerikeri,-35.2268,173.9474,14.95,86,69,1.71,NZ,1704283786
323,mount isa,-20.7333,139.5,24.87,88,100,8.23,AU,1704283387
324,ketchikan,55.3422,-131.6461,5.99,93,100,1.54,US,1704284153
325,pacific grove,36.6177,-121.9166,10.65,87,100,2.06,US,1704283506
326,arauquita,7.0292,-71.4281,24.85,67,94,1.12,CO,1704284153
327,constantia,44.1833,28.65,9.38,65,100,4.84,RO,1704283636
328,bali,-8.5,115.0,29.57,83,100,0.73,ID,1704283877
329,ardestan,33.3761,52.3694,14.03,35,2,1.51,IR,1704284154
330,pacasmayo,-7.4006,-79.5714,21.52,84,97,4.8,PE,1704284154
331,greymouth,-42.4667,171.2,12.41,90,66,1.85,NZ,1704283759
332,mar del plata,-38.0023,-57.5575,24.18,83,10,3.13,AR,1704283876
333,utrik,11.2278,169.8474,27.13,76,65,9.19,MH,1704283663
334,vorkuta,67.5,64.0,-20.98,98,100,8.16,RU,1704284156
335,sisimiut,66.9395,-53.6735,-5.14,67,100,6.21,GL,1704283777
336,ha'il,27.5219,41.6907,15.01,72,40,3.09,SA,1704284157
337,lang son,21.8333,106.7333,13.46,83,76,1.71,VN,1704283940
338,nantucket,41.2835,-70.0995,-0.94,86,0,2.57,US,1704284081
339,tshikapa,-6.4167,20.8,30.07,55,87,1.78,CD,1704284158
340,muswellbrook,-32.2667,150.9,22.4,72,77,1.71,AU,1704284158
341,apatity,67.5641,33.4031,-20.19,81,100,1.8,RU,1704284158
342,soio,-6.1349,12.3689,27.66,75,97,5.55,AO,1704283675
343,antsiranana,-12.2787,49.2917,30.29,66,100,6.28,MG,1704284159
344,alvorada,-12.48,-49.1247,23.85,93,100,1.81,BR,1704284159
345,borazjan,29.2666,51.2159,21.2,39,6,3.9,IR,1704284159
346,santa cruz del sur,20.7147,-77.9956,18.3,84,3,5.36,CU,1704284160
347,novodvinsk,64.4165,40.8122,-21.14,99,35,1.42,RU,1704284160
348,tromso,69.6496,18.957,-7.99,73,40,3.6,NO,1704283767
349,ouesso,1.6136,16.0517,35.61,28,100,0.54,CG,1704284161
350,aksu,41.1231,80.2644,-1.18,44,100,1.3,CN,1704283965
351,amalapuram,16.5833,82.0167,23.24,69,14,2.94,IN,1704284029
352,mahanoro,-19.9,48.8,30.04,71,64,4.72,MG,1704284163
353,luderitz,-26.6481,15.1594,23.46,73,63,6.56,NA,1704283722
354,vernon,50.2581,-119.2691,2.09,93,100,0.0,CA,1704284069
355,quelimane,-17.8786,36.8883,27.87,81,83,4.74,MZ,1704284163
356,acapulco de juarez,16.8634,-99.8901,22.9,64,20,4.12,MX,1704283734
357,punta del este,-34.9667,-54.95,25.06,83,20,6.17,UY,1704284164
358,howard springs,-12.497,131.047,27.95,93,83,2.18,AU,1704283719
359,ayr,55.4627,-4.6339,8.61,93,75,2.57,GB,1704284165
360,graham,47.0529,-122.2943,7.73,93,100,0.45,US,1704284165
361,florida,28.7505,-82.5001,7.64,100,0,0.0,US,1704284166
362,union,40.6334,-74.2663,2.28,74,0,3.09,US,1704284166
363,itaituba,-4.2761,-55.9836,24.43,94,99,1.02,BR,1704283828
